#domain,port,ioc,ip
nas-iwg.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),79.57.210.123
nas-iwg.direct.quickconnect.to,80,Possible GLKVM Domain (Unverified),79.57.210.123
nas.aaaaaa.tech,1443,Possible PiKVM Domain (Unverified),8.155.25.193
nas.mochulsky.ru,100,Possible NanoKVM Domain (Unverified),185.244.46.172
nas.sateli.eu,8081,Possible NanoKVM Domain (Unverified),88.17.110.230
nas.soveren-service.ru,4443,Possible NanoKVM Domain (Unverified),78.29.17.54
nas.tooni.kr,8055,Possible NanoKVM Domain (Unverified),1.252.129.83
nas.yhsy.fun,5002,Possible PiKVM Domain (Unverified),123.11.145.203
nathanberan.xyz,25001,Possible GLKVM Domain (Unverified),216.177.187.113
naturalnrg.myqnapcloud.com,8888,Possible PiKVM Domain (Unverified),92.84.40.96
nc2.maxop.site,12443,Possible GLKVM Domain (Unverified),93.127.123.251
net1vano.duckdns.org,10443,Possible NanoKVM Domain (Unverified),195.209.48.27
netcrazelaine.netcraze.pro,8223,Possible GLKVM Domain (Unverified),94.19.185.32
netdata.koterpillar.com,5199,Possible NanoKVM Domain (Unverified),103.252.195.101
new.wb10.ru,9090,Possible NanoKVM Domain (Unverified),188.32.193.72
newfreelarunda.duckdns.org,9091,Possible PiKVM Domain (Unverified),46.6.2.157
next.smartshape.io,4443,Possible PiKVM Domain (Unverified),130.180.220.15
nextcloud.lesviallon.fr,9443,Possible PiKVM Domain (Unverified),89.95.58.186
nexterm.ctrlhub.xyz,8443,Possible PiKVM Domain (Unverified),149.172.152.9
nginx.tartarus6.com,12345,Possible NanoKVM Domain (Unverified),96.234.148.166
nicksnasqc.direct.quickconnect.to,51337,Possible NanoKVM Domain (Unverified),125.238.204.185
njnvqg18z57wowut.myfritz.net,9443,Possible GLKVM Domain (Unverified),77.21.111.55
no.proxmox.nanokvm.net,443,Possible NanoKVM Domain (Unverified),45.133.118.27
noctavigathome.netcraze.pro,8443,Possible NanoKVM Domain (Unverified),94.19.127.137
notebook.16yang.cn,24443,Possible PiKVM Domain (Unverified),39.105.109.58
ns5010499.ip-51-161-198.net,443,Possible GLKVM Domain (Unverified),51.161.198.71
nsafc44.kvm.netscan.systems,8443,Possible GLKVM Domain (Unverified),162.247.152.117
nsrkeenetic.keenetic.link,8085,Possible PiKVM Domain (Unverified),46.39.239.117
numerosiren.com,62346,Possible NanoKVM Domain (Unverified),82.65.98.164
numerosiren.com,62347,Possible NanoKVM Domain (Unverified),82.65.98.164
oauth.myxpa.duckdns.org,8080,Possible GLKVM Domain (Unverified),5.94.17.212
obsidian.arbrit.duckdns.org,20000,Possible PiKVM Domain (Unverified),70.112.90.12
ocaldk.direct.quickconnect.to,8443,Possible GLKVM Domain (Unverified),91.226.145.67
office.prokrepezh38.ru,40100,Possible NanoKVM Domain (Unverified),90.188.225.217
oifdgok.crazedns.ru,443,Possible NanoKVM Domain (Unverified),185.160.137.198
owrgw.netcraze.link,444,Possible NanoKVM Domain (Unverified),178.176.44.33
pacificgreen420.com,8000,Possible NanoKVM Domain (Unverified),199.247.7.53
papap.myasustor.com,4431,Possible GLKVM Domain (Unverified),70.181.70.35
papra.hertz-eichenrode.net,443,Possible GLKVM Domain (Unverified),31.16.114.99
parus8.ru,2323,Possible NanoKVM Domain (Unverified),176.123.217.148
pavelrosario-zgchqqrgjp.dynamic-m.com,8443,Possible NanoKVM Domain (Unverified),100.1.72.71
pcj8110.direct.quickconnect.to,8411,Possible NanoKVM Domain (Unverified),112.168.75.177
pcj8110.direct.quickconnect.to,9058,Possible NanoKVM Domain (Unverified),112.168.75.177
peticucicd.japaneast.cloudapp.azure.com,36011,Possible PiKVM Domain (Unverified),20.222.180.224
photos.rapadoiro.myonlineportal.net,9444,Possible NanoKVM Domain (Unverified),88.16.248.86
phpmyadmin.acumenx.duckdns.org,59308,Possible NanoKVM Domain (Unverified),210.6.109.18
playliza.ru,10001,Possible NanoKVM Domain (Unverified),109.194.141.174
plex.leem.dk,63000,Possible PiKVM Domain (Unverified),91.226.144.173
pm.axlmotors.com,53535,Possible PiKVM Domain (Unverified),172.234.247.51
portainer.unlimited8.de,2323,Possible NanoKVM Domain (Unverified),87.123.118.26
praclarush.i234.me,40130,Possible GLKVM Domain (Unverified),109.192.75.96
prizmed.ru,17213,Possible NanoKVM Domain (Unverified),93.179.84.229
profiles.arbrit.duckdns.org,10000,Possible PiKVM Domain (Unverified),70.112.90.12
pthgi74vof16ghed.myfritz.net,10443,Possible PiKVM Domain (Unverified),46.142.162.204
q31.duckdns.org,8081,Possible NanoKVM Domain (Unverified),180.67.255.80
qbittorrent.klinker-cabin.computer,8081,Possible PiKVM Domain (Unverified),38.75.214.203
quannet.ru,2481,Possible PiKVM Domain (Unverified),147.185.221.223
r.wallmark.no,5236,Possible PiKVM Domain (Unverified),83.108.224.235
r1-cam-guangzhou-dev.glkvm.cn,443,Possible GLKVM Domain (Unverified),14.215.162.195
r1-guangzhou-dev.glkvm.cn,10443,Possible GLKVM Domain (Unverified),14.215.162.114
r1-lax-pre.glkvm.xyz,443,Possible GLKVM Domain (Unverified),216.106.181.141
r10.glkvm.top,443,Possible GLKVM Domain (Unverified),169.197.143.190
r11.glkvm.com,443,Possible GLKVM Domain (Unverified),67.220.94.113
r12.glkvm.com,443,Possible GLKVM Domain (Unverified),15.235.162.252
r13.glkvm.com,443,Possible GLKVM Domain (Unverified),164.52.6.38
r25-guangzhou-test.glkvm.cn,443,Possible GLKVM Domain (Unverified),14.215.162.120
r3.glkvm.cn,443,Possible GLKVM Domain (Unverified),203.2.119.124
r3.ustaging-kvm.com,443,Possible GLKVM Domain (Unverified),216.152.152.221
r4.glkvm.top,443,Possible GLKVM Domain (Unverified),67.220.73.86
r5.glkvm.cn,443,Possible GLKVM Domain (Unverified),110.188.24.21
r5.glkvm.com,443,Possible GLKVM Domain (Unverified),23.150.248.245
r6.glkvm.com,443,Possible GLKVM Domain (Unverified),193.108.119.147
r7.glkvm.com,443,Possible GLKVM Domain (Unverified),38.114.120.171
r8.glkvm.com,443,Possible GLKVM Domain (Unverified),38.75.137.91
rack1kvm.com,443,Possible GLKVM Domain (Unverified),162.35.160.124
rack1kvm.com,80,Possible GLKVM Domain (Unverified),162.35.160.124
ramirezgutierrez.es,89,Possible NanoKVM Domain (Unverified),79.116.61.227
ramirezgutierrez.es,90,Possible NanoKVM Domain (Unverified),79.116.61.227
rch.homeofangel.duckdns.org,7443,Possible NanoKVM Domain (Unverified),58.124.115.239
rdp.m-it.su,23459,Possible NanoKVM Domain (Unverified),195.46.165.49
rds.picasso-lab.ru,62280,Possible NanoKVM Domain (Unverified),93.91.14.200
rebel-ms.dscloud.me,1233,Possible NanoKVM Domain (Unverified),178.124.154.112
rebel-ms.dscloud.me,1244,Possible NanoKVM Domain (Unverified),178.124.154.112
recovery.saintjosephdescarmes.fr,47561,Possible NanoKVM Domain (Unverified),82.65.113.226
reg.androidbsp.com,9443,Possible GLKVM Domain (Unverified),49.77.70.159
regcloudfest.ru,8889,Possible NanoKVM Domain (Unverified),95.165.143.236
registry.gitlab.youngapps.net,10443,Possible NanoKVM Domain (Unverified),107.11.148.122
remote.gera.builder.softosource.com,9999,Possible NanoKVM Domain (Unverified),178.219.164.169
renebucherag.3cx.ch,7020,Possible PiKVM Domain (Unverified),81.63.137.17
reserv.vash-guru.ru,9992,Possible NanoKVM Domain (Unverified),185.13.46.2
