#ip,port,ioc
47.120.60.201,80,Possible Cobaltstrike C2 IP
47.120.60.201,8011,Possible Cobaltstrike C2 IP
47.120.60.201,8022,Possible Cobaltstrike C2 IP
47.120.60.201,8443,Possible Cobaltstrike C2 IP
47.121.132.28,443,Possible Cobaltstrike C2 IP
47.121.133.146,666,Possible Cobaltstrike C2 IP
47.122.51.236,7777,Possible Cobaltstrike C2 IP
47.122.64.112,5555,Possible Cobaltstrike C2 IP
47.236.19.63,443,Possible Cobaltstrike C2 IP
47.236.19.63,8989,Possible Cobaltstrike C2 IP
47.236.244.191,80,Possible Cobaltstrike C2 IP
47.236.69.44,8081,Possible Cobaltstrike C2 IP
47.237.118.17,53,Possible Cobaltstrike C2 IP
47.238.103.180,80,Possible Cobaltstrike C2 IP
47.238.103.180,8080,Possible Cobaltstrike C2 IP
47.242.1.120,8090,Possible Cobaltstrike C2 IP
47.242.30.202,443,Possible Cobaltstrike C2 IP
47.242.30.202,80,Possible Cobaltstrike C2 IP
47.242.37.176,28080,Possible Cobaltstrike C2 IP
47.242.50.82,443,Possible Cobaltstrike C2 IP
47.242.50.82,80,Possible Cobaltstrike C2 IP
47.243.175.24,8444,Possible Cobaltstrike C2 IP
47.244.167.171,4545,Possible Cobaltstrike C2 IP
47.244.167.171,801,Possible Cobaltstrike C2 IP
47.52.58.121,4545,Possible Cobaltstrike C2 IP
47.52.58.121,801,Possible Cobaltstrike C2 IP
47.83.239.158,443,Possible Cobaltstrike C2 IP
47.90.142.15,5432,Possible Cobaltstrike C2 IP
47.92.140.190,443,Possible Cobaltstrike C2 IP
47.92.140.25,53,Possible Cobaltstrike C2 IP
47.92.166.33,6666,Possible Cobaltstrike C2 IP
47.92.168.58,443,Possible Cobaltstrike C2 IP
47.92.37.255,443,Possible Cobaltstrike C2 IP
47.92.95.38,80,Possible Cobaltstrike C2 IP
47.93.243.161,39124,Possible Cobaltstrike C2 IP
47.94.168.145,9999,Possible Cobaltstrike C2 IP
47.94.179.9,4444,Possible Cobaltstrike C2 IP
47.94.43.210,53,Possible Cobaltstrike C2 IP
47.94.43.210,8080,Possible Cobaltstrike C2 IP
47.95.17.42,443,Possible Cobaltstrike C2 IP
47.96.106.127,8081,Possible Cobaltstrike C2 IP
47.96.140.207,80,Possible Cobaltstrike C2 IP
47.96.67.49,8888,Possible Cobaltstrike C2 IP
47.96.85.171,4444,Possible Cobaltstrike C2 IP
47.97.174.199,8080,Possible Cobaltstrike C2 IP
47.97.57.124,80,Possible Cobaltstrike C2 IP
47.98.154.34,10443,Possible Cobaltstrike C2 IP
49.65.96.139,8087,Possible Cobaltstrike C2 IP
52.231.10.139,8080,Possible Cobaltstrike C2 IP
52.43.210.209,443,Possible Cobaltstrike C2 IP
52.43.210.209,80,Possible Cobaltstrike C2 IP
52.71.255.48,443,Possible Cobaltstrike C2 IP
52.71.255.48,80,Possible Cobaltstrike C2 IP
52.74.71.203,8448,Possible Cobaltstrike C2 IP
52.87.236.219,80,Possible Cobaltstrike C2 IP
54.156.183.83,53,Possible Cobaltstrike C2 IP
54.168.87.242,53,Possible Cobaltstrike C2 IP
54.174.87.245,80,Possible Cobaltstrike C2 IP
54.196.15.38,53,Possible Cobaltstrike C2 IP
54.224.145.120,443,Possible Cobaltstrike C2 IP
54.224.145.120,53,Possible Cobaltstrike C2 IP
58.137.140.238,80,Possible Cobaltstrike C2 IP
60.204.134.21,443,Possible Cobaltstrike C2 IP
60.204.134.21,8443,Possible Cobaltstrike C2 IP
60.204.235.210,80,Possible Cobaltstrike C2 IP
