#ip,port,ioc
119.3.218.60,8443,Possible Cobaltstrike C2 IP
119.8.106.3,443,Possible Cobaltstrike C2 IP
119.8.106.3,89,Possible Cobaltstrike C2 IP
119.8.116.145,4444,Possible Cobaltstrike C2 IP
119.8.116.145,8011,Possible Cobaltstrike C2 IP
119.8.116.145,8033,Possible Cobaltstrike C2 IP
119.8.116.145,8088,Possible Cobaltstrike C2 IP
119.8.34.236,8001,Possible Cobaltstrike C2 IP
119.91.231.113,8880,Possible Cobaltstrike C2 IP
119.91.243.146,443,Possible Cobaltstrike C2 IP
119.91.243.210,443,Possible Cobaltstrike C2 IP
119.91.245.175,443,Possible Cobaltstrike C2 IP
119.91.247.125,443,Possible Cobaltstrike C2 IP
119.91.56.217,8444,Possible Cobaltstrike C2 IP
119.91.64.209,2096,Possible Cobaltstrike C2 IP
119.91.95.88,443,Possible Cobaltstrike C2 IP
120.194.219.28,89,Possible Cobaltstrike C2 IP
120.24.38.217,4433,Possible Cobaltstrike C2 IP
120.24.38.217,8899,Possible Cobaltstrike C2 IP
120.24.64.74,443,Possible Cobaltstrike C2 IP
120.24.64.74,80,Possible Cobaltstrike C2 IP
120.24.90.39,7474,Possible Cobaltstrike C2 IP
120.25.190.37,443,Possible Cobaltstrike C2 IP
120.25.190.37,80,Possible Cobaltstrike C2 IP
120.26.1.102,80,Possible Cobaltstrike C2 IP
120.26.127.220,443,Possible Cobaltstrike C2 IP
120.26.127.220,87,Possible Cobaltstrike C2 IP
120.26.164.174,8088,Possible Cobaltstrike C2 IP
120.26.164.174,8099,Possible Cobaltstrike C2 IP
120.26.166.249,443,Possible Cobaltstrike C2 IP
120.26.166.249,80,Possible Cobaltstrike C2 IP
120.26.166.249,8080,Possible Cobaltstrike C2 IP
120.26.46.50,8873,Possible Cobaltstrike C2 IP
120.26.46.50,8879,Possible Cobaltstrike C2 IP
120.27.215.186,443,Possible Cobaltstrike C2 IP
120.33.57.28,8443,Possible Metasploit C2 IP
120.46.131.183,8964,Possible Cobaltstrike C2 IP
120.46.212.33,4433,Possible Cobaltstrike C2 IP
120.46.212.33,81,Possible Cobaltstrike C2 IP
120.46.212.33,9998,Possible Cobaltstrike C2 IP
120.46.212.33,9999,Possible Cobaltstrike C2 IP
120.46.223.23,443,Possible Cobaltstrike C2 IP
120.46.28.4,8081,Possible Cobaltstrike C2 IP
120.46.28.4,8889,Possible Cobaltstrike C2 IP
120.46.56.20,4321,Possible Cobaltstrike C2 IP
120.46.60.126,8888,Possible Cobaltstrike C2 IP
120.48.116.118,22222,Possible Cobaltstrike C2 IP
120.48.116.118,88,Possible Cobaltstrike C2 IP
120.48.116.118,9876,Possible Cobaltstrike C2 IP
120.53.236.231,8080,Possible Cobaltstrike C2 IP
120.53.45.192,443,Possible Cobaltstrike C2 IP
120.53.45.192,80,Possible Cobaltstrike C2 IP
120.55.164.167,80,Possible Cobaltstrike C2 IP
120.55.195.5,9999,Possible Cobaltstrike C2 IP
120.76.193.57,443,Possible Cobaltstrike C2 IP
120.78.155.42,80,Possible Cobaltstrike C2 IP
120.78.83.129,10086,Possible Cobaltstrike C2 IP
120.78.91.8,443,Possible Cobaltstrike C2 IP
120.79.135.77,443,Possible Cobaltstrike C2 IP
120.79.135.77,80,Possible Cobaltstrike C2 IP
120.79.150.243,2086,Possible Cobaltstrike C2 IP
120.79.150.243,2095,Possible Cobaltstrike C2 IP
120.79.150.243,443,Possible Cobaltstrike C2 IP
