#domain,ioc,uri_path,ip
cod.ikube.icu,Possible Cobalt Strike C2 Domain,/api/3,82.156.19.76
compliancetech-f8akb6avb4ewbaaz.a02.azurefd.net,Possible Cobalt Strike C2 Domain,/tip.asp,18.207.155.112
connecotr-datastorage.azureedge.net,Possible Cobalt Strike C2 Domain,/config/v1/MicrosoftTeams/KgiuPCmlSraSweP5I6tV6DRa51VOTLz,18.169.11.109
connection.php,Possible Cobalt Strike C2 Fronting Domain,/__utm.gif,139.59.48.174
connection.php,Possible Cobalt Strike C2 Fronting Domain,/__utm.gif,142.93.209.88
content.azurefd.net,Possible Cobalt Strike C2 Domain,/app.bundle.5d2h8da.min.js,85.209.156.2
content.azurefd.net,Possible Cobalt Strike C2 Domain,/app.min.7b5b9f3n6a.bundle.js,95.164.5.121
content.microsoft.com,Possible Cobalt Strike C2 Fronting Domain,/push,8.140.135.23
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain,/push,8.140.135.23
control.connect.vultrcloud.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,103.144.139.110
cooike123silvvbultes.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.2.Oxz0jxirJr2wSpo6http.min.js,45.152.66.15
cs-dekbcfngog.cn-hangzhou.fcapp.run,Possible Cobalt Strike C2 Domain,/assets/simditor/2.3.6/scripts/uploader.js,101.43.25.107
cs.ain360.net,Possible Cobalt Strike C2 Domain,/push,18.163.238.67
cs.catdogcs.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,199.167.138.132
cs.cobaltstrike.site,Possible Cobalt Strike C2 Domain,/load,140.143.146.150
cs.longk.icu,Possible Cobalt Strike C2 Domain,/pixel.gif,124.222.218.136
cs.usy7.cc,Possible Cobalt Strike C2 Domain,/load,103.159.64.205
cs.usy7.cc,Possible Cobalt Strike C2 Domain,/load,103.159.64.206
cscdn.tu4n1.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,156.238.247.148
csssssswdsaawsssdwqeqw.1008611.cfd,Possible Cobalt Strike C2 Domain,/match,149.104.31.36
cstrike.securetest.link,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=cars,20.83.148.22
ctdl1-windowsupdate.com,Possible Cobalt Strike C2 Domain,/match,92.255.85.76
cute.sex666vr.com,Possible Cobalt Strike C2 Domain,/heatmaps/fleshlights/6407/2467/4437aa96434ade021bef08371cf2ea22,34.55.187.149
cutecats.catonline.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.47.239.110
cybird-etc.top,Possible Cobalt Strike C2 Domain,/pixel,114.55.91.166
d13w5a9vmim7ab.cloudfront.net,Possible Cobalt Strike C2 Domain,/groupcp.js,3.234.57.245
d1e3mxsrb8wk5t.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/Recursive/v6.01/ZO9G8CQ8FQ,54.225.176.139
d23i3zq1rc3x23.cloudfront.net,Possible Cobalt Strike C2 Domain,/Recursive/v6.01/ZO9G8CQ8FQ,54.225.176.139
d23i3zq1rc3x23.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain,/Recursive/v6.01/ZO9G8CQ8FQ,54.225.176.139
d25rw98klzusv.cloudfront.net,Possible Cobalt Strike C2 Domain,/access/,52.43.210.209
d25rw98klzusv.cloudfront.net,Possible Cobalt Strike C2 Domain,/api/v1/data,44.243.209.238
d286t7igchver4.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,52.6.159.6
d28m4ml3mucvft.cloudfront.net,Possible Cobalt Strike C2 Domain,/access/,57.181.27.167
d2b994s9gh89j.cloudfront.net,Possible Cobalt Strike C2 Domain,/im.js,3.140.250.200
d2bgg627403iov.cloudfront.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,52.6.159.6
d2bgg627403iov.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,52.6.159.6
d2ldgqm2egohnv.cloudfront.net,Possible Cobalt Strike C2 Domain,/functionalStatus/SJIv1XK0o3BRMBCcIDn3,54.156.183.83
d2ldgqm2egohnv.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain,/functionalStatus/SJIv1XK0o3BRMBCcIDn3,54.156.183.83
